Source,Target,Type
1,3,Undirected
3,4,Undirected
4,2,Undirected
1,2,Undirected
2,3,Undirected
5,7,Undirected
7,8,Undirected
8,6,Undirected
5,6,Undirected
6,7,Undirected
3,5,Undirected
4,6,Undirected
5,4,Undirected
9,11,Undirected
11,12,Undirected
12,10,Undirected
9,10,Undirected
10,11,Undirected
7,9,Undirected
8,10,Undirected
9,8,Undirected
13,15,Undirected
15,16,Undirected
16,14,Undirected
13,14,Undirected
14,15,Undirected
17,19,Undirected
19,20,Undirected
20,18,Undirected
17,18,Undirected
18,19,Undirected
15,17,Undirected
16,18,Undirected
17,16,Undirected
21,23,Undirected
23,24,Undirected
24,22,Undirected
21,22,Undirected
22,23,Undirected
19,21,Undirected
20,22,Undirected
21,20,Undirected
11,13,Undirected
12,14,Undirected
13,12,Undirected
25,26,Undirected
27,29,Undirected
29,30,Undirected
30,28,Undirected
27,28,Undirected
28,29,Undirected
25,27,Undirected
26,28,Undirected
27,26,Undirected
31,33,Undirected
33,34,Undirected
34,32,Undirected
31,32,Undirected
32,33,Undirected
29,31,Undirected
30,32,Undirected
31,30,Undirected
35,37,Undirected
37,38,Undirected
38,36,Undirected
35,36,Undirected
36,37,Undirected
39,41,Undirected
41,42,Undirected
42,40,Undirected
39,40,Undirected
40,41,Undirected
37,39,Undirected
38,40,Undirected
39,38,Undirected
43,45,Undirected
45,46,Undirected
46,44,Undirected
43,44,Undirected
44,45,Undirected
41,43,Undirected
42,44,Undirected
43,42,Undirected
33,35,Undirected
34,36,Undirected
35,34,Undirected
23,25,Undirected
24,26,Undirected
25,24,Undirected
47,49,Undirected
49,50,Undirected
50,48,Undirected
47,48,Undirected
48,49,Undirected
51,53,Undirected
53,54,Undirected
54,52,Undirected
51,52,Undirected
52,53,Undirected
49,51,Undirected
50,52,Undirected
51,50,Undirected
55,57,Undirected
57,58,Undirected
58,56,Undirected
55,56,Undirected
56,57,Undirected
53,55,Undirected
54,56,Undirected
55,54,Undirected
59,61,Undirected
61,62,Undirected
62,60,Undirected
59,60,Undirected
60,61,Undirected
63,65,Undirected
65,66,Undirected
66,64,Undirected
63,64,Undirected
64,65,Undirected
61,63,Undirected
62,64,Undirected
63,62,Undirected
67,69,Undirected
69,70,Undirected
70,68,Undirected
67,68,Undirected
68,69,Undirected
65,67,Undirected
66,68,Undirected
67,66,Undirected
57,59,Undirected
58,60,Undirected
59,58,Undirected
71,72,Undirected
73,75,Undirected
75,76,Undirected
76,74,Undirected
73,74,Undirected
74,75,Undirected
71,73,Undirected
72,74,Undirected
73,72,Undirected
77,79,Undirected
79,80,Undirected
80,78,Undirected
77,78,Undirected
78,79,Undirected
75,77,Undirected
76,78,Undirected
77,76,Undirected
81,83,Undirected
83,84,Undirected
84,82,Undirected
81,82,Undirected
82,83,Undirected
85,87,Undirected
87,88,Undirected
88,86,Undirected
85,86,Undirected
86,87,Undirected
83,85,Undirected
84,86,Undirected
85,84,Undirected
89,91,Undirected
91,92,Undirected
92,90,Undirected
89,90,Undirected
90,91,Undirected
87,89,Undirected
88,90,Undirected
89,88,Undirected
79,81,Undirected
80,82,Undirected
81,80,Undirected
69,71,Undirected
70,72,Undirected
71,70,Undirected
45,47,Undirected
46,48,Undirected
47,46,Undirected
93,95,Undirected
95,96,Undirected
96,94,Undirected
93,94,Undirected
94,95,Undirected
97,99,Undirected
99,100,Undirected
100,98,Undirected
97,98,Undirected
98,99,Undirected
95,97,Undirected
96,98,Undirected
97,96,Undirected
101,103,Undirected
103,104,Undirected
104,102,Undirected
101,102,Undirected
102,103,Undirected
99,101,Undirected
100,102,Undirected
101,100,Undirected
105,107,Undirected
107,108,Undirected
108,106,Undirected
105,106,Undirected
106,107,Undirected
109,111,Undirected
111,112,Undirected
112,110,Undirected
109,110,Undirected
110,111,Undirected
107,109,Undirected
108,110,Undirected
109,108,Undirected
113,115,Undirected
115,116,Undirected
116,114,Undirected
113,114,Undirected
114,115,Undirected
111,113,Undirected
112,114,Undirected
113,112,Undirected
103,105,Undirected
104,106,Undirected
105,104,Undirected
117,118,Undirected
119,121,Undirected
121,122,Undirected
122,120,Undirected
119,120,Undirected
120,121,Undirected
117,119,Undirected
118,120,Undirected
119,118,Undirected
123,125,Undirected
125,126,Undirected
126,124,Undirected
123,124,Undirected
124,125,Undirected
121,123,Undirected
122,124,Undirected
123,122,Undirected
127,129,Undirected
129,130,Undirected
130,128,Undirected
127,128,Undirected
128,129,Undirected
131,133,Undirected
133,134,Undirected
134,132,Undirected
131,132,Undirected
132,133,Undirected
129,131,Undirected
130,132,Undirected
131,130,Undirected
135,137,Undirected
137,138,Undirected
138,136,Undirected
135,136,Undirected
136,137,Undirected
133,135,Undirected
134,136,Undirected
135,134,Undirected
125,127,Undirected
126,128,Undirected
127,126,Undirected
115,117,Undirected
116,118,Undirected
117,116,Undirected
139,141,Undirected
141,142,Undirected
142,140,Undirected
139,140,Undirected
140,141,Undirected
143,145,Undirected
145,146,Undirected
146,144,Undirected
143,144,Undirected
144,145,Undirected
141,143,Undirected
142,144,Undirected
143,142,Undirected
147,149,Undirected
149,150,Undirected
150,148,Undirected
147,148,Undirected
148,149,Undirected
145,147,Undirected
146,148,Undirected
147,146,Undirected
151,153,Undirected
153,154,Undirected
154,152,Undirected
151,152,Undirected
152,153,Undirected
155,157,Undirected
157,158,Undirected
158,156,Undirected
155,156,Undirected
156,157,Undirected
153,155,Undirected
154,156,Undirected
155,154,Undirected
159,161,Undirected
161,162,Undirected
162,160,Undirected
159,160,Undirected
160,161,Undirected
157,159,Undirected
158,160,Undirected
159,158,Undirected
149,151,Undirected
150,152,Undirected
151,150,Undirected
163,164,Undirected
165,167,Undirected
167,168,Undirected
168,166,Undirected
165,166,Undirected
166,167,Undirected
163,165,Undirected
164,166,Undirected
165,164,Undirected
169,171,Undirected
171,172,Undirected
172,170,Undirected
169,170,Undirected
170,171,Undirected
167,169,Undirected
168,170,Undirected
169,168,Undirected
173,175,Undirected
175,176,Undirected
176,174,Undirected
173,174,Undirected
174,175,Undirected
177,179,Undirected
179,180,Undirected
180,178,Undirected
177,178,Undirected
178,179,Undirected
175,177,Undirected
176,178,Undirected
177,176,Undirected
181,183,Undirected
183,184,Undirected
184,182,Undirected
181,182,Undirected
182,183,Undirected
179,181,Undirected
180,182,Undirected
181,180,Undirected
171,173,Undirected
172,174,Undirected
173,172,Undirected
161,163,Undirected
162,164,Undirected
163,162,Undirected
137,139,Undirected
138,140,Undirected
139,138,Undirected
91,93,Undirected
92,94,Undirected
93,92,Undirected
185,187,Undirected
187,188,Undirected
188,186,Undirected
185,186,Undirected
186,187,Undirected
189,191,Undirected
191,192,Undirected
192,190,Undirected
189,190,Undirected
190,191,Undirected
187,189,Undirected
188,190,Undirected
189,188,Undirected
193,195,Undirected
195,196,Undirected
196,194,Undirected
193,194,Undirected
194,195,Undirected
191,193,Undirected
192,194,Undirected
193,192,Undirected
197,199,Undirected
199,200,Undirected
200,198,Undirected
197,198,Undirected
198,199,Undirected
201,203,Undirected
203,204,Undirected
204,202,Undirected
201,202,Undirected
202,203,Undirected
199,201,Undirected
200,202,Undirected
201,200,Undirected
205,207,Undirected
207,208,Undirected
208,206,Undirected
205,206,Undirected
206,207,Undirected
203,205,Undirected
